,names
454,Santos Pascual CALDERON SALDAÑA
455,Benjamín Adolfo CAMUS SILVA
456,Rolando Anastasio DONAIRE RODRIGUEZ
457,Luis  Osvaldo  GONZALEZ  MONDACA
458,Pedro MENESES BRITO
459,Bautista Segundo OYARZO TORRES
460,Manuel SILVA CARREÑO
461,Javier Enrique SOBARZO SEPULVEDA
462,Moisés del Carmen COSSIO PEREZ
463,"Evaristo  Segundo  YAÑEZ 
ASTUDILLO"
464,Manuel MALDONADO MIRANDA
465,Luis  Alberto  BARRAZA  RUHL
466,Mauricio CEA ITURRIETA
467,Roberto  AVILA  MARQUEZ
468,Hugolino Humberto ARIAS NAVARRETE
469,Víctor Omar GALVEZ NORAMBUENA
470,Nelson  Joaquín  MEDINA  LETELIER
471,"Franklin Antonio 
VALDES  VALDES"
472,Héctor  Enrique  HERNANDEZ  GARCES
473,Arturo KOYK FREDES
474,Alfredo  ACEVEDO  PEREIRA
475,Raúl  CASTRO  CALDERA
476,Hernán CHAMORRO MONARDES
477,Manuel GONZALEZ VARGAS
478,Adiel MONSALVES MARTINEZ
479,José  MORALES  ALVAREZ
480,Pedro OYARZUN ZAMORANO
481,Joel  Guillermo  SILVA  OLIVA
482,Ramón  VIVANCO  DIAZ
483,Javier  Antonio  PACHECO  MONSALVE
484,Ricardo  Jorge  SOLAR  MIRANDA
485,Francisco  Eugenio  VIERA  OVALLE
486,"Bernardo  Enrique  MUÑOZ 
GUAJARDO"
487,Segundo Fernando VALDIVIA VASQUEZ
488,Miguel Angel VALDIVIA VASQUEZ
489,Víctor Eduardo VALDIVIA VASQUEZ
490,"Luis  Heriberto  CONTRERAS 
ESCANILLA"
491,Rudy Freddy VIDAL PEREIRA
492,Manuel  Tomás  ROJAS  FUENTES
493,Juan  Domingo  MARTINEZ  ALDANA
494,"René Máximo 
MARTINEZ ALISTE"
